nombre,tipo,area,responsable,solicitante,descripcion,url_plan
"Migración oficinas Tlalnepantla","Proyecto","Infraestructura","Fernando López","Dirección General","Coordinación de actividades de migración tecnológica y operativa.",""
"Renovación Firewall / VPN Corporativa","Proyecto","Seguridad","Fernando López","Dirección General","Modernización de infraestructura de seguridad perimetral y accesos remotos.",""
"Data Center Azure — Zona 2","Mejoras","Cloud","Amadeus Gonzalez","Dirección General","Expansión de capacidad tecnológica y continuidad operativa en Azure.",""
"Actualización CCTV y Biométricos","Proyecto","Seguridad Física","Lilina Valverde","Capital Humano","Modernización de sistemas de monitoreo y control de acceso.",""
"Red estructurada — Edificio B","Mejoras","Redes","Omar Garcia","Administración","Renovación y optimización de la red de comunicaciones del edificio.",""
